0,4,Is de mannelijke acteur van [Lohengrin] getrouwd met [Margarete Joswig]?
1,15,Speelde [Aida] een acteur van [Cio-Cio-san (Madama Butterfly)] en [Turandot] en speelde [Renata Tebaldi]?
2,16,Speelden [Shakespeare in Love] de hoofdrol [Jim Carter] en [Martin Clunes] en de broer of zus van de Britse werknemer van [UNICEF]?
3,26,"Speelde [Battle of Neretva] de hoofdrol [Demeter Bitenc], een acteur van [Vladimir Perić Valter] en [Hardy Krüger]?"
4,28,"Heeft [The Dictator] de hoofdrol gespeeld in [Barack Obama] , [JB Smoove] , [Elena Goode] en [Anna Faris]?"
5,30,Speelde [Bleach: Memories of Nobody] een acteur van [Meia Gisborn] en speelde [Fumiko Orikasa] en [Hiroki Yasumoto]?
6,88,"Hebben [Geen label gedefinieerd] ster [Göran Ragnerstam] , [Bertil Norström] en [Marie Richardson] en ster [Geen label gedefinieerd] de Zweedse acteur?"
7,92,Is de vrouwelijke broer of zus van [Saint Petersburg State University] getrouwd met [Mark Yelizarov]?
8,142,"Speelden [Amor en el Aire], [Rocío de La Mancha], [Good Morning, Little Countess] en [Cristina Guzmán] een Spaanse echtgenote van [Zhou Enshou]?"
9,197,"Heeft [Swing Vote] ster [George Lopez] , ster [Bill Maher] , en ster [Willie Nelson] gespeeld?"
10,420,Speelde [Non-Summit] de acteur van [Protoss]?
11,488,"Speelde [Walls of Fire] ster [Diego Rivera] , ster [University of Southern California]&#39;s Mexicaanse werknemer en ster [David Alfaro Siqueiros]?"
12,517,Zijn [Ridley Scott IV Epiphanes] en [Ridley Scott] getrouwd met de echtgenoot en broer van [Mary Todd Lincoln] en zijn ze getrouwd met [Laodice IV]?
13,529,"Speelde [Father Dowling Mysteries] de hoofdrol [NBC] , ster [James Stephens] en een kind van [The Walt Disney Company]?"
14,531,Speelde [Vader Dowling Mysteries] een kind van [Bintanath] en speelde [NBC] de hoofdrol?
15,571,Speelde [The Education of Auma Obama] de ster van [Bob Schooley]&#39;s broer of zus en ster [Auma Obama]?
16,622,"Is [Diego Rivera] getrouwd met een Mexicaanse echtgenote van [Jorge Cuesta] en getrouwd met [Guadalupe Marín] , [Emma Hurtado] , [Angelina Beloff] en [Frida Kahlo]?"
17,637,"Heeft de werknemer van [Juilliard School] [Carmen] gespeeld, [Elmo] en [Turandot] en [Zerg] en [Meia Gisborn] gespeeld?"
18,902,Is [Giovanni Battista Meneghini] getrouwd met een acteur van [Carmen] en [Prinses Turandot]?
19,923,Is de Franse werknemer van [Paris Match] getrouwd met [Greta Strindberg] en [Annette Vadim] en getrouwd met [Brigitte Bardot] en [Catherine Marie Helene Schneider]?
20,1072,Trouwde [Luise Rinser] met een Duitse werknemer van [Universiteit voor Muziek en Theater München] en trouwde met een broer of zus van [Willy Herrmann]?
21,1086,Speelden [This Must Be the Place] en [The Dictator] de hoofdrol in de medewerker van [Business International Corporation]?
22,1191,"Zijn de ouder en broer van [Circe] getrouwd met [Asterodeia] , [Néère (Néréide) Néère (Néréide) inlanguage:fr] , [Eurylyte] , en [Clytia]?"
23,1228,Is de Spaanse broer of zus van [Olivia de Havilland] getrouwd met [Jennie Creighton]?
24,1265,Speelde de Italiaanse acteur van [Duke of Mantua] [Andrea Chénier] en speelde hij [Rodolfo] en [Mario Cavaradossi]?
25,1272,Is het kind van [Church Mission Society] getrouwd met [Stéphanie Chevrier]?
26,1311,Speelde de echtgenote van [Lynn Margulis] [Nick Wilde]?
27,1341,Zijn [Loredana Bertè] en [Mariana Simionescu] getrouwd met een Zweedse echtgenote van de Amerikaanse broer of zus van [Mia Martini]?
28,1438,Speelde de Nederlandse echtgenote van [Aike Dirkzwager] [Geen label gedefinieerd]?
29,1448,Is de mannelijke broer of zus van [Walter Hill] getrouwd met [Prometheus]?
30,1449,Trouwde [Renata Ford] met de Canadese broer of zus van [Carlos Semprún] en trouwde met [Barbara Pierce Bush]?
31,1452,Is [Jane Wyman] getrouwd met een Amerikaanse echtgenote van [keizer Shengzong van Liao] en getrouwd met [Fred Karger]?
32,1462,Is [Anne Chamberlain] getrouwd met de echtgenoot en broer van [Serge Hazanavicius]?
33,1499,Is de Zweedse echtgenote van [Christina van Schleswig-Holstein-Gottorp] getrouwd met [Temulin]?
34,1502,Is [Charles Hallé] getrouwd met een Zweedse broer of zus van [Marie Neruda]?
35,1515,Is [Yoko Ono] getrouwd met [Toshi Ichiyanagi] en getrouwd met de ouder van [Sean Lennon]?
36,1517,Is de vrouwelijke echtgenoot van Lucius Aelius Plautius Lamia Aelianus getrouwd met Domitianus?
37,1616,"Zijn [Ibaqa beki] , [Yesugen] en [Khulan] getrouwd met [Tonya Lewis Lee]?"
38,1618,Speelden [Geen label gedefinieerd] de Zweedse acteur en ster [Örjan Ramberg] en [Søs Egelind] van [Geen label gedefinieerd]?
39,1635,"Speelde de medewerker van [Juilliard School] [Carmen] , [Violetta Valéry] , [Lucia Ashton] en [Princess Turandot]?"
